division,department,team,titles,level_2_mix,level_1_mix,level_0_mix,company_size_mix
Office of the CEO,,Office of the CEO,Executive Officer|Administration Officer|Business Support Officer,0.5000,0.2500,0.2500,0.0050
Finance,,Office of the CFO,Analyst|Administration Officer|Business Support Officer,0.5000,0.2500,0.2500,0.0050
Finance,,Treasury,Accountant|Treasury Analyst|Planning Officer,0.3000,0.4000,0.3000,0.0050
Finance,Accounting,Accounts Payable,Accountant|Business Support Officer,0.1000,0.6000,0.3000,0.0100
Finance,Accounting,Accounts Receivable,Accountant|Business Support Officer,0.1000,0.6000,0.3000,0.0100
Finance,Accounting,Payroll,Accountant|Business Support Officer,0.2000,0.7000,0.1000,0.0100
Finance,Audit,Financial Audit,Auditor|Audit Analyst,0.3000,0.2000,0.5000,0.0050
Finance,Audit,Governance and Risk,Governance and Risk Advisor|Legal Advisor|Risk Analyst,0.5000,0.3000,0.2000,0.0050
Finance,Financial Planning and Analysis,Planning,Planning Officer|Forecast Analyst,0.7000,0.1500,0.1500,0.0100
Finance,Financial Planning and Analysis,Analytics,Forecast Analyst|Reporting Analyst,0.5000,0.3000,0.2000,0.0100
Finance,,Facilities Management,Facilities Officer|Business Support Officer|Helpdesk Officer,0.2500,0.5000,0.2500,0.0100
Finance,,Procurement,Contract Analyst|Procurement Officer|Business Support Officer,0.2500,0.5000,0.2500,0.0100
People,,Office of the CPO,Analyst|Administration Officer|Business Support Officer,0.5000,0.2500,0.2500,0.0050
People,,Legal,Legal Officer|Lawyer|Business Support Officer,0.7000,0.2000,0.1000,0.0050
People,Projects and Planning,Project Management Office,Project Officer|Reporting Analyst|Planning Officer|Business Analyst,0.2000,0.5000,0.3000,0.0100
People,Projects and Planning,HR Helpdesk,Training Advisor|Helpdesk Officer,0.1500,0.5000,0.3500,0.0100
People,Training and Development,Learning Design,Learning Designer|Systems Analyst,0.2500,0.5000,0.2500,0.0100
People,Training and Development,Training,Training Advisor|Business Support Officer,0.1500,0.6000,0.2500,0.0100
IT,,Office of the CIO,Project Officer|Vendor Management Analyst|Business Analyst,0.5000,0.2500,0.2500,0.0050
IT,Technology Support,Executive Support,Technology Support Officer|System Administrator,0.7500,0.2500,0.0000,0.0050
IT,Technology Support,Desktop Support,Technology Support Officer,0.5000,0.5000,0.0000,0.0200
IT,Technology Support,IT Helpdesk,Helpdesk Officer,0.1000,0.6000,0.3000,0.0300
IT,Operations and Infrastructure,Cloud DevOps,DevOps Engineer,0.2500,0.5000,0.2500,0.0100
IT,Operations and Infrastructure,Integration,System Administrator|Developer,0.3000,0.5000,0.2000,0.0100
IT,Operations and Infrastructure,Networking,Network Engineer|System Administrator|Technology Support Officer,0.2500,0.5000,0.2500,0.0200
IT,Corporate Applications,Website,Web Developer|UX Analyst,0.3500,0.4500,0.2000,0.0200
IT,Corporate Applications,Business Systems,System Administrator|Developer|Business Support Officer,0.3500,0.3500,0.3000,0.0100
Operations,,Office of the COO,Analyst|Administration Officer|Business Support Officer,0.3500,0.4500,0.2000,0.0050
Operations,Sales,National Sales – East,Sales Executive|Business Support Officer,0.2000,0.5000,0.3000,0.0400
Operations,Sales,National Sales – West,Sales Executive|Business Support Officer,0.2000,0.5000,0.3000,0.0600
Operations,Sales,National Sales – South,Sales Executive|Business Support Officer,0.3000,0.6000,0.1000,0.0500
Operations,Sales,National Sales – North,Sales Executive|Business Support Officer,0.2500,0.3500,0.3000,0.0300
Operations,Sales,International Sales,Sales Executive|Business Support Officer|Translator,0.5000,0.2500,0.2500,0.0400
Operations,Marketing,Customer Strategy,Data Analyst|Marketing Officer,0.2000,0.6000,0.2000,0.0500
Operations,Marketing,Business to Business,Data Analyst|Marketing Officer,0.4000,0.4000,0.2000,0.0400
Operations,Warehouse,Warehouse – East & North,Warehouse Specialist|Delivery Officer,0.2000,0.6000,0.2000,0.0800
Operations,Warehouse,Warehouse – South & West,Warehouse Specialist|Delivery Officer,0.2500,0.5000,0.2500,0.0700
Operations,Manufacturing,Vendor Management,Vendor Management Analyst|Business Support Officer,0.5000,0.2500,0.2500,0.0200
Operations,Manufacturing,Manufacturing Hub Alpha,Widget Builder|Whatsit Maker,0.2000,0.6000,0.2000,0.1300
Operations,Manufacturing,Manufacturing Hub Beta,Widget Builder|Whatsit Maker,0.2500,0.5000,0.2500,0.1100